sample_name,data_issues,fasta_file,possible_summer,mortality,mortality_code,anonymized_name,capture_timestamp,capture_group,capture_season,description,dna_extracted,elevation,empo_1,empo_2,empo_3,env_biome,env_biome_description,env_feature,env_material,env_package,geo_loc_name,host_age,host_age_units,host_common_name,host_life_stage,host_scientific_name,host_subject_id,fecal_at capture,host_taxid,host_weight,host_weight_units,latitude,longitude,physical_specimen_location,physical_specimen_remaining,qiita_study_id,sample_type,scientific_name,sex,taxon_id,serum_label,btv,ehd,study_area,i_80,capture_kit,adj_age,cor_age_calc,cor_age,cor_age_y_m_o,age_percentiles,age_by2,age_by1,age_y_m_o,body_weight,weight_percentiles,weight_5kg,weight_1kg,ss_ligament,lumbar_vert,sacrum,base_of_tail,caudal_vert,max.,b_femoris,l_dorsi,title
12842.13.011,n,Y,.,non-capture-related mortality,2,13.011,41589,2013_N,November,pronghorn feces,TRUE,2024.78,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,10+,years,pronghorn,adult,Antilocapra americana,Red01,Y,9891,49.86,kg,41.41101718,-107.8257321,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-011 RDP,N,N,Bitter Creek ,South,13-011,10,9.869,9.869,o,4,5,10,o,49.86,3,2,49,1.25,3,3,2.5,2.5,0,12,38,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.012,n,Y,7/18/14 likely hers,non-capture-realted mortality,2,13.012,41588,2013_N,November,pronghorn feces,TRUE,2046.68,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,3,years,pronghorn,adult,Antilocapra americana,Red07,Y,9891,48.46,kg,41.28326697,-107.7167148,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-012 RDP,Positive,Positive,Baggs,South,13-012,3,4.367,4.367,m,1,2,3,y,48.46,2,2,48,0.5,3.5,4,4,3.5,2,13,39,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.013,y,Y,.,alive,3,13.013,41588,2013_N,November,pronghorn feces,TRUE,2036.25,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,4,years,pronghorn,adult,Antilocapra americana,Red18,Y,9891,47.96,kg,41.23112958,-107.6060064,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-013 RDP,N,N,Baggs,South,13-003 (whirlpack 13-013),4,5.153,5.153,m,2,2,4,m,47.96,2,2,47,0.375,3.5,4,4,4,4,12,39,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.014,n,Y,.,alive,3,13.014,41592,2013_N,November,pronghorn feces,TRUE,2114.04,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,7,years,pronghorn,adult,Antilocapra americana,Yellow09,Y,9891,51.26,kg,42.18555531,-108.6543547,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-014 RDP,N,N,Red desert,North,13-014,7,7.511,7.511,m,4,4,7,m,51.26,3,3,51,1,3.5,3.5,2,2.5,0,12,37,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.015,n,Y,.,capture-related mortality,1,13.015,41589,2013_N,November,pronghorn feces,TRUE,2079.06,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,10+,years,pronghorn,adult,Antilocapra americana,Red02,Y,9891,47.16,kg,41.45158981,-107.7916866,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-015 RDP,NR,NR,Bitter Creek ,South,13-015,10,9.869,9.869,o,4,5,10,o,47.16,2,2,47,0.75,4,4,3,3,2,12,35,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.016,n,Y,7/20/15 not hers,alive,3,13.016,41589,2013_N,November,pronghorn feces,TRUE,2052.81,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,11,years,pronghorn,adult,Antilocapra americana,Red16,Y,9891,55.46,kg,41.42632873,-107.7824486,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-016 RDP,NR,NR,Bitter Creek ,South,13-016,11,10.655,10.655,o,4,6,10,o,55.46,4,4,55,0,4,4,5,5,6,12,43,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.017,n,Y,.,alive,3,13.017,41589,2013_N,November,pronghorn feces,TRUE,2012.42,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,5+,years,pronghorn,adult,Antilocapra americana,Orange06,Y,9891,45.46,kg,41.33219913,-107.7356846,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-017 RDP,N,Positive,Baggs,South,13-017,5,5.939,5.939,m,3,3,5,m,45.46,1,2,45,0.5,3.5,4,4,4,2,12,41,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.018,n,Y,.,non-capture realted mortality,2,13.018,41589,2013_N,November,pronghorn feces,TRUE,2059.87,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,6,years,pronghorn,adult,Antilocapra americana,Red13,Y,9891,45.06,kg,41.34972486,-107.7235331,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-018 RDP,N,Positive,Baggs,South,13-018,6,6.725,6.725,m,3,3,6,m,45.06,1,2,45,1.5,2,2.5,1.5,1.5,0,11,34,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.019,n,Y,.,alive,3,13.019,41589,2013_N,November,pronghorn feces,TRUE,2035.66,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,9.5,years,pronghorn,adult,Antilocapra americana,Red25,N,9891,47.46,kg,41.40794695,-107.8154881,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-019 RDP,N,Positive,Bitter Creek ,South,13-019,9.5,9.476,9.476,o,4,5,9,o,47.46,2,2,47,1.25,3,3,2,2,0,11,37,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.02,n,N,.,unk,0,13.02,41590,2013_N,November,pronghorn feces,TRUE,2067,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,1.5,years,pronghorn,adult,Antilocapra americana,13.02,Y,9891,43.06,kg,41.40794695,-107.8154881,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-020 RDP,N,Positive,Baggs,South,13-020,1.5,3.188,3.188,y,1,1,1,y,43.06,1,1,43,0.25,4,4.5,4,4,3,12,37,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.022,n,Y,.,non-capture realted mortality,2,13.022,41588,2013_N,November,pronghorn feces,TRUE,2029.34,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,4.5,years,pronghorn,adult,Antilocapra americana,Red14,N,9891,53.16,kg,41.29445503,-107.6216572,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-022 RDP,N,Positive,Baggs,South,13-022,4.5,5.546,5.546,m,2,3,4,m,53.16,4,3,53,0.5,4,4,4,4,2,11,38,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.023,n,Y,.,alive,3,13.023,41589,2013_N,November,pronghorn feces,TRUE,2083.35,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,5.5,years,pronghorn,adult,Antilocapra americana,Red08,Y,9891,51.96,kg,41.44873403,-107.8173647,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-023 RDP,Positive,Positive,Bitter Creek ,South,13-023,5.5,6.332,6.332,m,3,3,5,m,51.96,3,3,51,0.375,4,4,4,4,2,12,39,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.024,n,Y,7/22/15 general area,non-capture-related mortality,2,13.024,41589,2013_N,November,pronghorn feces,TRUE,2011.29,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,3.5,years,pronghorn,adult,Antilocapra americana,Green01,Y,9891,49.96,kg,41.35001324,-107.6826113,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-024 RDP,N,N,Baggs,South,13-024,3.5,4.76,4.76,m,1,2,3,y,49.96,3,2,49,0.5,4,4,4,4,2,13,41,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.025,n,Y,6/6/14 no notes,alive,3,13.025,41589,2013_N,November,pronghorn feces,TRUE,2065.88,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,9,years,pronghorn,adult,Antilocapra americana,Red04,Y,9891,39.66,kg,41.42407767,-107.8011696,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-025 RDP,N,N,Bitter Creek ,South,13-025,9,9.083,9.083,o,4,5,9,o,39.66,1,1,40,0.75,3.5,3,3,3,0,11,36,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.026,n,N,.,capture-related mortality,1,13.026,41590,2013_N,November,pronghorn feces,TRUE,2067,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,8,years,pronghorn,adult,Antilocapra americana,13.026,N,9891,46.56,kg,41.42407767,-107.8011696,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-026 RDP,N,N,Baggs,South,13-026,8,8.297,8.297,o,4,4,8,o,46.56,1,2,46,0.5,3,3,3.5,3,1,15,34,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.027,n,Y,6/6/14 no notes,alive,3,13.027,41589,2013_N,November,pronghorn feces,TRUE,2045.96,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,2.5,years,pronghorn,adult,Antilocapra americana,Green22,Y,9891,47.86,kg,41.41978437,-107.8129355,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,.,NR,NR,Bitter Creek ,South,13-027,2.5,3.974,3.974,y,1,2,2,y,47.86,2,2,47,0.5,4,4,3.5,4,2,12,39,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.028,n,Y,.,non-capture-related mortality,2,13.028,41588,2013_N,November,pronghorn feces,TRUE,2091.53,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,5+,years,pronghorn,adult,Antilocapra americana,Green04,Y,9891,44.46,kg,41.29557962,-107.5796795,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-028 RDP,N,N,Baggs,South,13-028,5,5.939,5.939,m,3,3,5,m,44.46,1,1,44,1,2.5,3,2.5,2.5,0,12,32,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.029,n,Y,.,alive,3,13.029,41588,2013_N,November,pronghorn feces,TRUE,1997.36,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,4.5,years,pronghorn,adult,Antilocapra americana,Green12,N,9891,48.06,kg,41.34283872,-107.6665486,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-029 RDP,N,N,Baggs,South,13-029,4.5,5.546,5.546,m,2,3,4,m,48.06,2,2,48,0.375,3.5,3.5,4,4,2,13,39,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.03,n,Y,.,non-capture realted mortality,2,13.03,41588,2013_N,November,pronghorn feces,TRUE,2041.43,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,6,years,pronghorn,adult,Antilocapra americana,Green09,Y,9891,48.26,kg,41.34592985,-107.6306685,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-030 RDP,Positive,Positive,Baggs,South,13-030,6,6.725,6.725,m,3,3,6,m,48.26,2,2,48,1,3.5,3.5,3,3,0,14,35,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.031,n,Y,.,alive,3,13.031,41589,2013_N,November,pronghorn feces,TRUE,2087.4,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,5.5,years,pronghorn,adult,Antilocapra americana,Green03,Y,9891,53.06,kg,41.47578315,-107.8284736,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-031 RDP,N,N,Bitter Creek ,South,13-031,5.5,6.332,6.332,m,3,3,5,m,53.06,4,3,53,1,3.5,3,3,3,1,14,37,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.032,n,Y,6/17/14 likely hers,alive,3,13.032,41589,2013_N,November,pronghorn feces,TRUE,2046.18,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,6,years,pronghorn,adult,Antilocapra americana,Green10,Y,9891,46.06,kg,41.3761046,-107.8121083,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-032 RDP,Positive,Positive,Bitter Creek ,South,13-032,6,6.725,6.725,m,3,3,6,m,46.06,1,2,46,1,3,3,2.5,2.5,0,13,39,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.033,n,Y,.,non-cature related mortality,2,13.033,41588,2013_N,November,pronghorn feces,TRUE,2108.15,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,5,years,pronghorn,adult,Antilocapra americana,Green06,Y,9891,48.86,kg,41.28627693,-107.5711646,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-033 RDP,N,N,Baggs,South,13-033,5,5.939,5.939,m,3,3,5,m,48.86,2,2,48,1,3.5,3.5,3,3,1,13,NR,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.034,n,Y,.,alive,3,13.034,41592,2013_N,November,pronghorn feces,TRUE,2147.09,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,4+,years,pronghorn,adult,Antilocapra americana,Orange24,Y,9891,56.26,kg,42.20521292,-108.7017028,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-034 RDP,N,N,Red desert,North,13-034,4,5.153,5.153,m,2,2,4,m,56.26,4,4,56,0,4,4,5,5,4,14,40,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.035,n,Y,.,non-capture realted mortality,2,13.035,41592,2013_N,November,pronghorn feces,TRUE,2075.63,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,6,years,pronghorn,adult,Antilocapra americana,White20,Y,9891,52.66,kg,42.06854491,-108.5638729,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-035 RDP,N,N,Red desert,North,13-035,6,6.725,6.725,m,3,3,6,m,52.66,4,3,52,0.75,3.5,4,2.5,2.5,0,13,36,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.036,n,Y,.,alive,3,13.036,41589,2013_N,November,pronghorn feces,TRUE,2070.66,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,3,years,pronghorn,adult,Antilocapra americana,Red03,Y,9891,52.56,kg,41.44192936,-107.8145267,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-036 RDP,N,N,Bitter Creek ,South,13-036,3,4.367,4.367,m,1,2,3,y,52.56,4,3,52,1,3.5,3.5,2.5,2.5,0,11,40,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.038,n,Y,.,alive,3,13.038,41590,2013_N,November,pronghorn feces,TRUE,2109.54,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,4,years,pronghorn,adult,Antilocapra americana,Green07,Y,9891,51.16,kg,41.59754366,-107.8464814,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-038 RDP,N,N,Bitter Creek ,South,13-038,4,5.153,5.153,m,2,2,4,m,51.16,3,3,51,1,3,3,2,2,0,13,32,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.039,n,Y,.,alive,3,13.039,41589,2013_N,November,pronghorn feces,TRUE,2044.35,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,6,years,pronghorn,adult,Antilocapra americana,Green18,Y,9891,49.46,kg,41.39228085,-107.8036865,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-039 RDP,N,Positive,Bitter Creek ,South,13-039,6,6.725,6.725,m,3,3,6,m,49.46,3,2,49,0.5,4,3.5,3.5,3.5,1,12,39,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.04,n,Y,.,alive,3,13.04,41589,2013_N,November,pronghorn feces,TRUE,2064.02,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,5,years,pronghorn,adult,Antilocapra americana,Red15,N,9891,43.96,kg,41.43880984,-107.8140412,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-040 RDP,N,Positive,Bitter Creek ,South,13-040,5,5.939,5.939,m,3,3,5,m,43.96,1,1,43,1,4,3.5,3.5,3.5,1,12,35,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.041,n,Y,.,alive,3,13.041,41591,2013_N,November,pronghorn feces,TRUE,2114.68,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,4,years,pronghorn,adult,Antilocapra americana,Orange14,Y,9891,48.36,kg,42.15363387,-108.6471168,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-041 RDP,N,N,Red desert,North,13-041,4,5.153,5.153,m,2,2,4,m,48.36,2,2,48,0.75,3.5,4,2.5,2.5,1,12,40,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.042,n,Y,7/7/14 no notes,non-capture related mortality,2,13.042,41588,2013_N,November,pronghorn feces,TRUE,2192.42,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,5.5,years,pronghorn,adult,Antilocapra americana,Green14,N,9891,48.96,kg,41.27042851,-107.5460996,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-042 RDP,Positive,N,Baggs,South,13-042,5.5,6.332,6.332,m,3,3,5,m,48.96,2,2,48,0.75,3,3,2.5,3,0,14,35,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.043,n,Y,6/8/14 no notes,alive,3,13.043,41589,2013_N,November,pronghorn feces,TRUE,2080.51,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,1.5,years,pronghorn,adult,Antilocapra americana,Orange15,Y,9891,42.16,kg,41.64684378,-108.0228734,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-043 RDP,N,N,Bitter Creek ,South,13-043,1.5,3.188,3.188,y,1,1,1,y,42.16,1,1,42,0.75,4,4,2.5,2.5,0,11,37,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.044,n,Y,.,alive,3,13.044,41591,2013_N,November,pronghorn feces,TRUE,2155.84,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,4,years,pronghorn,adult,Antilocapra americana,White05,Y,9891,45.96,kg,42.10162211,-108.693775,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-044 RDP,N,N,Red desert,North,13-044,4,5.153,5.153,m,2,2,4,m,45.96,1,2,45,1,3,4,2.5,2.5,0,13,37,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
