sample_name	fasta_file	possible_summer	mortality	mortality_code	anonymized_name	capture_timestamp	description	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_biome_description	env_feature	env_material	env_package	geo_loc_name	host_age	host_age_units	host_common_name	host_life_stage	host_scientific_name	host_subject_id	fecal_at capture	host_taxid	host_weight	host_weight_units	latitude	longitude	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	taxon_id	serum_label	btv	ehd	study_area	capture_kit	adj_age	age_percentiles	age_by2	age_by1	body_weight	weight_percentiles	weight_5kg	weight_1kg	ss_ligament	lumbar_vert	sacrum	base_of_tail	caudal_vert	max.	b_femoris	l_dorsi	title
12842.13.018	Y	.	non-capture realted mortality	2	13.018	11/11/2013	pronghorn feces	TRUE	2059.87	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	6	years	pronghorn	adult	Antilocapra americana	Red13	Y	9891	45.06	kg	41.34972	-107.724	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-018 RDP	N	Positive	Baggs	13-018	6	3	3	6	45.06	1	2	45	1.5	2	2.5	1.5	1.5	0	11	34	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.019	Y	.	alive	3	13.019	11/11/2013	pronghorn feces	TRUE	2035.66	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	9.5	years	pronghorn	adult	Antilocapra americana	Red25	N	9891	47.46	kg	41.40795	-107.815	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-019 RDP	N	Positive	Bitter Creek	13-019	9.5	4	5	9	47.46	2	2	47	1.25	3	3	2	2	0	11	37	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.02	N	.	unk	0	13.02	11/12/2013	pronghorn feces	TRUE	2067	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	1.5	years	pronghorn	adult	Antilocapra americana	13.02	Y	9891	43.06	kg	41.40795	-107.815	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-020 RDP	N	Positive	Baggs	13-020	1.5	1	1	1	43.06	1	1	43	0.25	4	4.5	4	4	3	12	37	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.022	Y	.	non-capture realted mortality	2	13.022	11/10/2013	pronghorn feces	TRUE	2029.34	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	4.5	years	pronghorn	adult	Antilocapra americana	Red14	N	9891	53.16	kg	41.29446	-107.622	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-022 RDP	N	Positive	Baggs	13-022	4.5	2	3	4	53.16	4	3	53	0.5	4	4	4	4	2	11	38	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.023	Y	.	alive	3	13.023	11/11/2013	pronghorn feces	TRUE	2083.35	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	5.5	years	pronghorn	adult	Antilocapra americana	Red08	Y	9891	51.96	kg	41.44873	-107.817	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-023 RDP	Positive	Positive	Bitter Creek	13-023	5.5	3	3	5	51.96	3	3	51	0.375	4	4	4	4	2	12	39	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.024	Y	7/22/15 general area	non-capture-related mortality	2	13.024	11/11/2013	pronghorn feces	TRUE	2011.29	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	3.5	years	pronghorn	adult	Antilocapra americana	Green01	Y	9891	49.96	kg	41.35001	-107.683	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-024 RDP	N	N	Baggs	13-024	3.5	1	2	3	49.96	3	2	49	0.5	4	4	4	4	2	13	41	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.025	Y	6/6/14 no notes	alive	3	13.025	11/11/2013	pronghorn feces	TRUE	2065.88	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	9	years	pronghorn	adult	Antilocapra americana	Red04	Y	9891	39.66	kg	41.42408	-107.801	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-025 RDP	N	N	Bitter Creek	13-025	9	4	5	9	39.66	1	1	40	0.75	3.5	3	3	3	0	11	36	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.026	N	.	capture-related mortality	1	13.026	11/12/2013	pronghorn feces	TRUE	2067	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	8	years	pronghorn	adult	Antilocapra americana	13.026	N	9891	46.56	kg	41.42408	-107.801	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-026 RDP	N	N	Baggs	13-026	8	4	4	8	46.56	1	2	46	0.5	3	3	3.5	3	1	15	34	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.027	Y	6/6/14 no notes	alive	3	13.027	11/11/2013	pronghorn feces	TRUE	2045.96	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	2.5	years	pronghorn	adult	Antilocapra americana	Green22	Y	9891	47.86	kg	41.41978	-107.813	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	.	NR	NR	Bitter Creek	13-027	2.5	1	2	2	47.86	2	2	47	0.5	4	4	3.5	4	2	12	39	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.028	Y	.	non-capture-related mortality	2	13.028	11/10/2013	pronghorn feces	TRUE	2091.53	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	5+	years	pronghorn	adult	Antilocapra americana	Green04	Y	9891	44.46	kg	41.29558	-107.58	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-028 RDP	N	N	Baggs	13-028	5	3	3	5	44.46	1	1	44	1	2.5	3	2.5	2.5	0	12	32	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.029	Y	.	alive	3	13.029	11/10/2013	pronghorn feces	TRUE	1997.36	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	4.5	years	pronghorn	adult	Antilocapra americana	Green12	N	9891	48.06	kg	41.34284	-107.667	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-029 RDP	N	N	Baggs	13-029	4.5	2	3	4	48.06	2	2	48	0.375	3.5	3.5	4	4	2	13	39	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.03	Y	.	non-capture realted mortality	2	13.03	11/10/2013	pronghorn feces	TRUE	2041.43	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	6	years	pronghorn	adult	Antilocapra americana	Green09	Y	9891	48.26	kg	41.34593	-107.631	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-030 RDP	Positive	Positive	Baggs	13-030	6	3	3	6	48.26	2	2	48	1	3.5	3.5	3	3	0	14	35	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.031	Y	.	alive	3	13.031	11/11/2013	pronghorn feces	TRUE	2087.4	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	5.5	years	pronghorn	adult	Antilocapra americana	Green03	Y	9891	53.06	kg	41.47578	-107.828	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-031 RDP	N	N	Bitter Creek	13-031	5.5	3	3	5	53.06	4	3	53	1	3.5	3	3	3	1	14	37	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.032	Y	6/17/14 likely hers	alive	3	13.032	11/11/2013	pronghorn feces	TRUE	2046.18	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	6	years	pronghorn	adult	Antilocapra americana	Green10	Y	9891	46.06	kg	41.3761	-107.812	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-032 RDP	Positive	Positive	Bitter Creek	13-032	6	3	3	6	46.06	1	2	46	1	3	3	2.5	2.5	0	13	39	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.033	Y	.	non-cature related mortality	2	13.033	11/10/2013	pronghorn feces	TRUE	2108.15	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	5	years	pronghorn	adult	Antilocapra americana	Green06	Y	9891	48.86	kg	41.28628	-107.571	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-033 RDP	N	N	Baggs	13-033	5	3	3	5	48.86	2	2	48	1	3.5	3.5	3	3	1	13	NR	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.034	Y	.	alive	3	13.034	11/14/2013	pronghorn feces	TRUE	2147.09	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	4+	years	pronghorn	adult	Antilocapra americana	Orange24	Y	9891	56.26	kg	42.20521	-108.702	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-034 RDP	N	N	Red desert	13-034	4	2	2	4	56.26	4	4	56	0	4	4	5	5	4	14	40	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.035	Y	.	non-capture realted mortality	2	13.035	11/14/2013	pronghorn feces	TRUE	2075.63	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	6	years	pronghorn	adult	Antilocapra americana	White20	Y	9891	52.66	kg	42.06854	-108.564	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-035 RDP	N	N	Red desert	13-035	6	3	3	6	52.66	4	3	52	0.75	3.5	4	2.5	2.5	0	13	36	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.036	Y	.	alive	3	13.036	11/11/2013	pronghorn feces	TRUE	2070.66	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	3	years	pronghorn	adult	Antilocapra americana	Red03	Y	9891	52.56	kg	41.44193	-107.815	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-036 RDP	N	N	Bitter Creek	13-036	3	1	2	3	52.56	4	3	52	1	3.5	3.5	2.5	2.5	0	11	40	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.038	Y	.	alive	3	13.038	11/12/2013	pronghorn feces	TRUE	2109.54	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	4	years	pronghorn	adult	Antilocapra americana	Green07	Y	9891	51.16	kg	41.59754	-107.846	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-038 RDP	N	N	Bitter Creek	13-038	4	2	2	4	51.16	3	3	51	1	3	3	2	2	0	13	32	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.039	Y	.	alive	3	13.039	11/11/2013	pronghorn feces	TRUE	2044.35	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	6	years	pronghorn	adult	Antilocapra americana	Green18	Y	9891	49.46	kg	41.39228	-107.804	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-039 RDP	N	Positive	Bitter Creek	13-039	6	3	3	6	49.46	3	2	49	0.5	4	3.5	3.5	3.5	1	12	39	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.04	Y	.	alive	3	13.04	11/11/2013	pronghorn feces	TRUE	2064.02	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	5	years	pronghorn	adult	Antilocapra americana	Red15	N	9891	43.96	kg	41.43881	-107.814	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-040 RDP	N	Positive	Bitter Creek	13-040	5	3	3	5	43.96	1	1	43	1	4	3.5	3.5	3.5	1	12	35	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.041	Y	.	alive	3	13.041	11/13/2013	pronghorn feces	TRUE	2114.68	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	4	years	pronghorn	adult	Antilocapra americana	Orange14	Y	9891	48.36	kg	42.15363	-108.647	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-041 RDP	N	N	Red desert	13-041	4	2	2	4	48.36	2	2	48	0.75	3.5	4	2.5	2.5	1	12	40	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.042	Y	7/7/14 no notes	non-capture related mortality	2	13.042	11/10/2013	pronghorn feces	TRUE	2192.42	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	5.5	years	pronghorn	adult	Antilocapra americana	Green14	N	9891	48.96	kg	41.27043	-107.546	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-042 RDP	Positive	N	Baggs	13-042	5.5	3	3	5	48.96	2	2	48	0.75	3	3	2.5	3	0	14	35	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.043	Y	6/8/14 no notes	alive	3	13.043	11/11/2013	pronghorn feces	TRUE	2080.51	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	1.5	years	pronghorn	adult	Antilocapra americana	Orange15	Y	9891	42.16	kg	41.64684	-108.023	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-043 RDP	N	N	Bitter Creek	13-043	1.5	1	1	1	42.16	1	1	42	0.75	4	4	2.5	2.5	0	11	37	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.044	Y	.	alive	3	13.044	11/13/2013	pronghorn feces	TRUE	2155.84	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	4	years	pronghorn	adult	Antilocapra americana	White05	Y	9891	45.96	kg	42.10162	-108.694	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-044 RDP	N	N	Red desert	13-044	4	2	2	4	45.96	1	2	45	1	3	4	2.5	2.5	0	13	37	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.045	Y	.	capture-related mortality	1	13.045	11/13/2013	pronghorn feces	TRUE	2172.68	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	5	years	pronghorn	adult	Antilocapra americana	Yellow11	Y	9891	55.46	kg	42.17584	-108.803	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-045 RDP	N	N	Red desert	13-045	5	3	3	5	55.46	4	4	55	1.25	3.5	4	2	2	0	13	38	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.046	Y	.	alive	3	13.046	11/13/2013	pronghorn feces	TRUE	2145.49	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	4	years	pronghorn	adult	Antilocapra americana	Green17	N	9891	48.06	kg	42.12458	-108.752	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-046 RDP	Positive	N	Red desert	13-046	4	2	2	4	48.06	2	2	48	0.375	4	4.5	4	4	3	13	39	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.047	Y	7/14/2015 general area	alive	3	13.047	11/12/2013	pronghorn feces	TRUE	2080.51	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	6	years	pronghorn	adult	Antilocapra americana	Orange25	Y	9891	52.76	kg	41.64684	-108.023	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-047 RDP	N	N	Bitter Creek	13-047	6	3	3	6	52.76	4	3	52	0.125	4	4	4	4	3	14	39	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
